"BuildId","BuildNumber","BuildVersion","Status","Branch","PR","Started","Finished","NupkgCount","LastNupkg","PkgVersion","PkgOffset","PkgOutOfRange","BuildError","PkgError","PkgNotFound"
"7287230","1","0.10.3.1","success","master",,"2017-03-02T23:15:08.8013056Z","2017-03-02T23:27:41.2103344Z","4","True","0.10.3.1","-00:00:04.2103344",,,,
"7292019","2","0.10.3.2","success","master","356","2017-03-03T08:15:47.3215340Z","2017-03-03T08:28:13.2700698Z","4","True","0.10.3.2","-00:00:03.2700698",,"PR","True",
"7294849","3","0.10.3.3","success","master",,"2017-03-03T11:39:31.1060227Z","2017-03-03T11:52:07.7979975Z","4","True","0.10.3.3","-00:00:02.7979975",,,,
"7294898","4","0.10.3.4","success","master","379","2017-03-03T11:42:43.6716123Z","2017-03-03T11:55:59.5426276Z","4","True","0.10.3.4","-00:00:03.5426276",,"PR","True",
"7295461","5","0.10.3.5","success","master","379","2017-03-03T12:19:24.2420993Z","2017-03-03T12:34:51.1515479Z","4","True","0.10.3.5","-00:00:01.1515479",,"PR","True",
"7295881","6","0.10.3.6","success","master","379","2017-03-03T12:47:25.5849928Z","2017-03-03T13:00:57.1166497Z","4","True","0.10.3.6","-00:00:04.1166497",,"PR","True",
"7297068","7","0.10.3.7","success","master","379","2017-03-03T13:59:44.5791746Z","2017-03-03T14:13:56.5440633Z","4","True","0.10.3.7","-00:00:03.5440633",,"PR","True",
"7297275","8","0.10.3.8","success","master","379","2017-03-03T14:09:39.0910668Z","2017-03-03T14:29:05.1575755Z","4","True","0.10.3.8","-00:00:03.1575755",,"PR","True",
"7299315","9","0.10.3.9","failed","master","379","2017-03-03T15:51:12.9032105Z","2017-03-03T15:52:14.4711597Z",,,,,,,,
"7299762","10","0.10.3.10","success","master","379","2017-03-03T16:11:15.7745799Z","2017-03-03T16:24:27.8503521Z","4","True","0.10.3.10","-00:00:02.8503521",,"PR","True",
"7300494","11","0.10.3.11","success","master","379","2017-03-03T16:48:44.3791241Z","2017-03-03T17:02:45.3507956Z","4","True","0.10.3.11","-00:00:03.3507956",,"PR","True",
"7300572","12","0.10.3.12","success","master","379","2017-03-03T17:05:20.2781671Z","2017-03-03T17:18:56.1934342Z","4","True","0.10.3.12","-00:00:02.1934342",,"PR","True",
"7309255","13","0.10.3.13","success","versioning",,"2017-03-04T07:35:11.6513443Z","2017-03-04T07:47:37.3209161Z","4","True","0.10.3.13-nightly","-00:00:04.3209161",,"Branch","True",
"7309483","14","0.10.3.14","success","master",,"2017-03-04T08:22:39.7512927Z","2017-03-04T08:34:51.3722273Z","4","True","0.10.3.14-nightly","-00:00:02.3722273",,,,
"7310196","15","0.10.3.15","success","master",,"2017-03-04T10:34:36.3260226Z","2017-03-04T10:48:20.0804813Z","4","True","0.10.3.15","-00:00:03.0804813",,,,
"7310228","16","0.10.3.16","failed","master","381","2017-03-04T10:39:42.3442466Z","2017-03-04T10:48:52.0160885Z",,,,,,,,
"7311236","17","0.10.3.17","success","master",,"2017-03-04T13:11:46.5771418Z","2017-03-04T13:25:36.8278925Z","4","True","0.10.3.17","-00:00:02.8278925",,,,
"7311752","18","0.10.3.18","success","master",,"2017-03-04T14:34:10.6889114Z","2017-03-04T14:47:30.8105729Z","4","True","0.10.3.18","-00:00:03.8105729",,,,
"7318687","19","0.10.3.19","failed","master","381","2017-03-05T08:52:38.0718640Z","2017-03-05T09:02:37.3315504Z",,,,,,,,
"7318760","20","0.10.3.20","failed","master","381","2017-03-05T09:02:38.4794025Z","2017-03-05T09:11:56.5545000Z",,,,,,,,
"7318796","21","0.10.3.21","failed","master","381","2017-03-05T09:11:41.4033219Z","2017-03-05T09:15:58.3701266Z",,,,,,,,
"7319751","22","0.10.3.22","cancelled","master","381",,"2017-03-05T11:46:08.8909495Z",,,,,,,,
"7319755","23","0.10.3.23","failed","master","381","2017-03-05T11:49:14.0366949Z","2017-03-05T11:51:44.8230508Z",,,,,,,,
"7319761","24","0.10.3.24","failed","master","381","2017-03-05T11:50:06.9806543Z","2017-03-05T11:52:32.0767767Z",,,,,,,,
"7319810","25","0.10.3.25","failed","master","381","2017-03-05T11:56:19.6197915Z","2017-03-05T11:58:34.4945796Z",,,,,,,,
"7319891","26","0.10.3.26","failed","master","381","2017-03-05T12:08:04.6730119Z","2017-03-05T12:10:27.5811047Z",,,,,,,,
"7328851","27","0.10.3.27","failed","master","381","2017-03-06T06:41:10.3024098Z","2017-03-06T06:57:02.9031238Z",,,,,,,,
"7339575","28","0.10.3.28","success","master","381","2017-03-06T17:46:51.4149739Z","2017-03-06T18:09:07.0695102Z","4","True","0.10.3.28","-00:00:04.0695102",,"PR","True",
"7348926","29","0.10.3.29","success","test",,"2017-03-07T05:17:23.8189455Z","2017-03-07T05:30:48.6068978Z","4","True","0.10.3.29","-00:00:02.6068978",,"Branch","True",
"7349991","30","0.10.3.30","success","master","381","2017-03-07T07:33:11.7313397Z","2017-03-07T07:50:02.5605409Z","5","True","0.10.3.30","-00:00:02.5605409",,"PR","True",
"7391501","31","0.10.3.31","success","master","381","2017-03-09T06:55:45.0531734Z","2017-03-09T07:11:26.4788662Z","5","True","0.10.3.31","-00:00:01.4788662",,"PR","True",
